Country,Percent,Cluster
Burkina Faso,65.8,2
Kuwait,51.7,2
Nigeria,51.2,2
Pakistan,51.0,2
Sudan,50.4,2
Kyrgyzstan,45.2,2
Qatar,44.5,2
Bahrain,44.4,2
Saudi Arabia,38.4,0
Tanzania,37.8,0
Libya,37.6,0
United Arab Emirates,36.0,0
Oman,35.9,0
Yemen,34.9,0
Iraq,34.3,0
Iran,32.2,0
Syria,31.6,0
Jordan,31.6,0
Egypt,31.0,0
Tunisia,26.9,0
Lebanon,26.6,0
India,26.6,0
Guinea,25.9,0
Uzbekistan,23.3,0
Algeria,22.6,0
Sri Lanka,21.5,0
Turkey,20.1,0
Israel,20.0,0
Tajikistan,20.0,0
Morocco,19.9,0
Indonesia,17.8,0
Bangladesh,10.5,1
Malaysia,7.6,1
Japan,7.6,1
China,5.0,1
El Salvador,4.9,1
Brazil,4.3,1
Singapore,3.6,1
Colombia,3.5,1
Ecuador,3.5,1
Costa Rica,3.4,1
Honduras,3.4,1
South Africa,2.8,1
Peru,2.5,1
Uruguay,2.1,1
Spain,2.0,1
Bolivia,1.7,1
Panama,1.7,1
Portugal,1.6,1
Canada,1.5,1
Venezuela,1.4,1
Belgium,1.1,1
Chile,0.9,1
Cuba,0.8,1
France,0.8,1
Mexico,0.8,1
Sweden,0.7,1
Ireland,0.6,1
Slovenia,0.6,1
Italy,0.6,1
Argentina,0.5,1
Australia,0.5,1
Norway,0.5,1
Great Britain,0.4,1
Philippines,0.4,1
Czech Republic,0.2,1
The Netherlands,0.2,1
United States,0.2,1
Croatia,0.1,1
Hungary,0.1,1
